,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,KineticEnergy,Potential,Energy
45,0.9003,-0.88496647,0.6831437,2.92424225,0.00262421,0.6831437,0.88496647,0.00262421,-2.92424225,0.88496647,-0.6831437,-2.92424225,-0.00262421,-0.6831437,-0.88496647,-0.00262421,2.92424225,17.10239929,-34.24453465,-17.14213536
46,0.9203,-0.82524513,0.68221967,3.04913372,-0.09715781,0.68221967,0.82524513,-0.09715781,-3.04913372,0.82524513,-0.68221967,-3.04913372,0.09715781,-0.68221967,-0.82524513,0.09715781,3.04913372,18.61331211,-35.75544741,-17.1421353
47,0.9403,-0.76294853,0.6791633,3.18191754,-0.21107795,0.6791633,0.76294853,-0.21107795,-3.18191754,0.76294853,-0.6791633,-3.18191754,0.21107795,-0.6791633,-0.76294853,0.21107795,3.18191754,20.33830627,-37.48044149,-17.14213522
48,0.9603,-0.69790953,0.67366102,3.32353918,-0.34236358,0.67366102,0.69790953,-0.34236358,-3.32353918,0.69790953,-0.67366102,-3.32353918,0.34236358,-0.67366102,-0.69790953,0.34236358,3.32353918,22.32625095,-39.46838608,-17.14213512
49,0.9803,-0.6299412,0.66532465,3.47502639,-0.49531718,0.66532465,0.6299412,-0.49531718,-3.47502639,0.6299412,-0.66532465,-3.47502639,0.49531718,-0.66532465,-0.6299412,0.49531718,3.47502639,24.64229502,-41.78443001,-17.14213498
50,1.0003,-0.55883568,0.65366532,3.63742906,-0.67580012,0.65366532,0.55883568,-0.67580012,-3.63742906,0.55883568,-0.65366532,-3.63742906,0.67580012,-0.65366532,-0.55883568,0.67580012,3.63742906,27.37519195,-44.51732674,-17.14213479
51,1.0203,-0.48436506,0.63805533,3.81166352,-0.89199705,0.63805533,0.48436506,-0.89199705,-3.81166352,0.48436506,-0.63805533,-3.81166352,0.89199705,-0.63805533,-0.48436506,0.89199705,3.81166352,30.64887506,-47.79100958,-17.14213452
52,1.0403,-0.40628726,0.6176702,3.99813881,-1.15566315,0.6176702,0.40628726,-1.15566315,-3.99813881,0.40628726,-0.6176702,-3.99813881,1.15566315,-0.6176702,-0.40628726,1.15566315,3.99813881,34.64134256,-51.78347667,-17.14213412
53,1.0603,-0.32436376,0.59139816,4.19586997,-1.48422796,0.59139816,0.32436376,-1.48422796,-4.19586997,0.32436376,-0.59139816,-4.19586997,1.48422796,-0.59139816,-0.32436376,1.48422796,4.19586997,39.61651489,-56.75864841,-17.14213352
54,1.0803,-0.23840582,0.55769339,4.40032796,-1.90445781,0.55769339,0.23840582,-1.90445781,-4.40032796,0.23840582,-0.55769339,-4.40032796,1.90445781,-0.55769339,-0.23840582,1.90445781,4.40032796,45.97969142,-63.12182401,-17.14213259
55,1.1003,-0.14839129,0.51433061,4.59799017,-2.45895225,0.51433061,0.14839129,-2.45895225,-4.59799017,0.14839129,-0.51433061,-4.59799017,2.45895225,-0.51433061,-0.14839129,2.45895225,4.59799017,54.3759196,-71.51805077,-17.14213117
56,1.1203,-0.0547666,0.45798573,4.75168026,-3.21732143,0.45798573,0.0547666,-3.21732143,-4.75168026,0.0547666,-0.45798573,-4.75168026,3.21732143,-0.45798573,-0.0547666,3.21732143,4.75168026,65.85924504,-83.00137422,-17.14212918
57,1.1403,0.04073504,0.38354626,4.7587693,-4.29094592,0.38354626,-0.04073504,-4.29094592,-4.7587693,-0.04073504,-0.38354626,-4.7587693,4.29094592,-0.38354626,0.04073504,4.29094592,4.7587693,82.11620417,-99.25833209,-17.14212792
58,1.1603,0.13279449,0.28330221,4.33312238,-5.81663353,0.28330221,-0.13279449,-5.81663353,-4.33312238,-0.13279449,-0.28330221,-4.33312238,5.81663353,-0.28330221,0.13279449,5.81663353,4.33312238,105.21835048,-122.36048826,-17.14213778
59,1.1803,0.20668074,0.1483911,2.79101428,-7.67288853,0.1483911,-0.20668074,-7.67288853,-2.79101428,-0.20668074,-0.1483911,-2.79101428,7.67288853,-0.1483911,0.20668074,7.67288853,2.79101428,133.32595826,-150.46815826,-17.1422
60,1.2004,0.23294832,-0.01817071,-0.37215059,-8.55656645,-0.01817071,-0.23294832,-8.55656645,0.37215059,-0.23294832,0.01817071,0.37215059,8.55656645,0.01817071,0.23294832,8.55656645,-0.37215059,146.7066508,-163.84891801,-17.14226721
61,1.2204,0.19414518,-0.17941287,-3.24789365,-7.30013528,-0.17941287,-0.19414518,-7.30013528,3.24789365,-0.19414518,0.17941287,3.24789365,7.30013528,0.17941287,0.19414518,7.30013528,-3.24789365,127.68157639,-144.82375681,-17.14218042
62,1.2404,0.11452007,-0.30665103,-4.48309859,-5.4597695,-0.30665103,-0.11452007,-5.4597695,4.48309859,-0.11452007,0.30665103,4.48309859,5.4597695,0.30665103,0.11452007,5.4597695,-4.48309859,99.81451192,-116.95664533,-17.14213341
63,1.2604,0.02097578,-0.40078587,-4.77898348,-4.03565081,-0.40078587,-0.02097578,-4.03565081,4.77898348,-0.02097578,0.40078587,4.77898348,4.03565081,0.40078587,0.02097578,4.03565081,-4.77898348,78.25032107,-95.39244896,-17.14212789
64,1.2804,-0.07439961,-0.4709393,-4.72690077,-3.03877084,-0.4709393,0.07439961,-3.03877084,4.72690077,0.07439961,0.4709393,4.72690077,3.03877084,0.4709393,-0.07439961,3.03877084,-4.72690077,63.15543833,-80.29756795,-17.14212962
65,1.3004,-0.16735654,-0.52424759,-4.55886428,-2.33019648,-0.52424759,0.16735654,-2.33019648,4.55886428,0.16735654,0.52424759,4.55886428,2.33019648,0.52424759,-0.16735654,2.33019648,-4.55886428,52.42611834,-69.56824986,-17.14213151
66,1.3204,-0.25654482,-0.56538172,-4.35787719,-1.80812112,-0.56538172,0.25654482,-1.80812112,4.35787719,0.25654482,0.56538172,4.35787719,1.80812112,0.56538172,-0.25654482,1.80812112,-4.35787719,44.52079119,-61.66292401,-17.14213282
67,1.3404,-0.34165702,-0.59739171,-4.15412798,-1.40972253,-0.59739171,0.34165702,-1.40972253,4.15412798,0.34165702,0.59739171,4.15412798,1.40972253,0.59739171,-0.34165702,1.40972253,-4.15412798,38.48819383,-55.63032749,-17.14213366
68,1.3604,-0.42276572,-0.62233485,-3.95852346,-1.09641606,-0.62233485,0.42276572,-1.09641606,3.95852346,0.42276572,0.62233485,3.95852346,1.09641606,0.62233485,-0.42276572,1.09641606,-3.95852346,33.74407231,-50.88620652,-17.14213421
69,1.3804,-0.50007622,-0.64165103,-3.77456937,-0.84378403,-0.64165103,0.50007622,-0.84378403,3.77456937,0.50007622,0.64165103,3.77456937,0.84378403,0.64165103,-0.50007622,0.84378403,-3.77456937,29.9186908,-47.06082538,-17.14213458
70,1.4004,-0.57383025,-0.6563828,-3.60284481,-0.63580714,-0.6563828,0.57383025,-0.63580714,3.60284481,0.57383025,0.6563828,3.60284481,0.63580714,0.6563828,-0.57383025,0.63580714,-3.60284481,26.76948294,-43.91161778,-17.14213484
71,1.4204,-0.64426786,-0.66730778,-3.44278661,-0.4616066,-0.66730778,0.64426786,-0.4616066,3.44278661,0.64426786,0.66730778,3.44278661,0.4616066,0.66730778,-0.64426786,0.4616066,-3.44278661,24.13172062,-41.27385564,-17.14213502
72,1.4404,-0.71161307,-0.67502096,-3.29343007,-0.31356133,-0.67502096,0.71161307,-0.31356133,3.29343007,0.71161307,0.67502096,3.29343007,0.31356133,0.67502096,-0.71161307,0.31356133,-3.29343007,21.89000462,-39.03213976,-17.14213515
73,1.4604,-0.77606937,-0.6799877,-3.15372143,-0.18618412,-0.6799877,0.77606937,-0.18618412,3.15372143,0.77606937,0.6799877,3.15372143,0.18618412,0.6799877,-0.77606937,0.18618412,-3.15372143,19.96124681,-37.10338205,-17.14213524
74,1.4804,-0.83781947,-0.68257892,-3.02264698,-0.07542807,-0.68257892,0.83781947,-0.07542807,3.02264698,0.83781947,0.68257892,3.02264698,0.07542807,0.68257892,-0.83781947,0.07542807,-3.02264698,18.28416834,-35.42630365,-17.14213531
75,1.5005,-0.89731652,-0.68309296,-2.89868253,0.0222111,-0.68309296,0.89731652,0.0222111,2.89868253,0.89731652,0.68309296,2.89868253,-0.0222111,0.68309296,-0.89731652,-0.0222111,-2.89868253,16.80570743,-33.9478428,-17.14213537
76,1.5205,-0.95411485,-0.6817727,-2.78223425,0.10810926,-0.6817727,0.95411485,0.10810926,2.78223425,0.95411485,0.6817727,2.78223425,-0.10810926,0.6817727,-0.95411485,-0.10810926,-2.78223425,15.50503004,-32.64716546,-17.14213541
77,1.5405,-1.00864691,-0.67883118,-2.67194183,0.18460631,-0.67883118,1.00864691,0.18460631,2.67194183,1.00864691,0.67883118,2.67194183,-0.18460631,0.67883118,-1.00864691,-0.18460631,-2.67194183,14.34670529,-31.48884074,-17.14213545
78,1.5605,-1.06102931,-0.67444144,-2.56717012,0.25314484,-0.67444144,1.06102931,0.25314484,2.56717012,1.06102931,0.67444144,2.56717012,-0.25314484,0.67444144,-1.06102931,-0.25314484,-2.56717012,13.30888946,-30.45102494,-17.14213548
79,1.5805,-1.1113668,-0.66875068,-2.46736336,0.31488171,-0.66875068,1.1113668,0.31488171,2.46736336,1.1113668,0.66875068,2.46736336,-0.31488171,0.66875068,-1.1113668,-0.31488171,-2.46736336,12.37406488,-29.51620038,-17.1421355
80,1.6005,-1.15975369,-0.66188522,-2.37203484,0.37075562,-0.66188522,1.15975369,0.37075562,2.37203484,1.15975369,0.66188522,2.37203484,-0.37075562,0.66188522,-1.15975369,-0.37075562,-2.37203484,11.52801805,-28.67015356,-17.14213552
81,1.6205,-1.20627518,-0.65395438,-2.28075741,0.42153624,-0.65395438,1.20627518,0.42153624,2.28075741,1.20627518,0.65395438,2.28075741,-0.42153624,0.65395438,-1.20627518,-0.42153624,-2.28075741,10.75909435,-27.90122988,-17.14213553
82,1.6405,-1.25100847,-0.64505345,-2.1931551,0.46786072,-0.64505345,1.25100847,0.46786072,2.1931551,1.25100847,0.64505345,2.1931551,-0.46786072,0.64505345,-1.25100847,-0.46786072,-2.1931551,10.05764592,-27.19978146,-17.14213554
83,1.6605,-1.29402367,-0.63526609,-2.10889592,0.5102611,-0.63526609,1.29402367,0.5102611,2.10889592,1.29402367,0.63526609,2.10889592,-0.5102611,0.63526609,-1.29402367,-0.5102611,-2.10889592,9.41561677,-26.55775232,-17.14213556
84,1.6805,-1.33538463,-0.62466617,-2.02768568,0.54918511,-0.62466617,1.33538463,0.54918511,2.02768568,1.33538463,0.62466617,2.02768568,-0.54918511,0.62466617,-1.33538463,-0.54918511,-2.02768568,8.82622698,-25.96836255,-17.14213556
85,1.7005,-1.37514967,-0.61331932,-1.94926276,0.58501232,-0.61331932,1.37514967,0.58501232,1.94926276,1.37514967,0.61331932,1.94926276,-0.58501232,0.61331932,-1.37514967,-0.58501232,-1.94926276,8.2837294,-25.42586497,-17.14213557
86,1.7205,-1.41337216,-0.60128415,-1.87339366,0.61806657,-0.60128415,1.41337216,0.61806657,1.87339366,1.41337216,0.60128415,1.87339366,-0.61806657,0.60128415,-1.41337216,-0.61806657,-1.87339366,7.78322016,-24.92535574,-17.14213558
87,1.7405,-1.45010104,-0.58861328,-1.79986924,0.64862588,-0.58861328,1.45010104,0.64862588,1.79986924,1.45010104,0.58861328,1.79986924,-0.64862588,0.58861328,-1.45010104,-0.64862588,-1.79986924,7.32048962,-24.46262521,-17.14213558
88,1.7605,-1.4853813,-0.57535414,-1.72850151,0.67693022,-0.57535414,1.4853813,0.67693022,1.72850151,1.4853813,0.57535414,1.72850151,-0.67693022,0.57535414,-1.4853813,-0.67693022,-1.72850151,6.89190402,-24.03403961,-17.14213559
89,1.7805,-1.51925435,-0.56154971,-1.65912092,0.7031878,-0.56154971,1.51925435,0.7031878,1.65912092,1.51925435,0.56154971,1.65912092,-0.7031878,0.56154971,-1.51925435,-0.7031878,-1.65912092,6.49431066,-23.63644625,-17.14213559
90,1.8006,-1.5519175,-0.5471663,-1.59124065,0.72769767,-0.5471663,1.5519175,0.72769767,1.59124065,1.5519175,0.5471663,1.59124065,-0.72769767,0.5471663,-1.5519175,-0.72769767,-1.59124065,6.12318141,-23.26531701,-17.1421356
91,1.8206,-1.58308116,-0.53238284,-1.52539624,0.75037544,-0.53238284,1.58308116,0.75037544,1.52539624,1.58308116,0.53238284,1.52539624,-0.75037544,0.53238284,-1.58308116,-0.75037544,-1.52539624,5.77979397,-22.92192957,-17.1421356
92,1.8406,-1.61294379,-0.51716172,-1.46111866,0.77148712,-0.51716172,1.61294379,0.77148712,1.46111866,1.61294379,0.51716172,1.46111866,-0.77148712,0.51716172,-1.61294379,-0.77148712,-1.46111866,5.46012023,-22.60225584,-17.1421356
93,1.8606,-1.64153557,-0.50153298,-1.39829198,0.79115584,-0.50153298,1.64153557,0.79115584,1.39829198,1.64153557,0.50153298,1.39829198,-0.79115584,0.50153298,-1.64153557,-0.79115584,-1.39829198,5.16229607,-22.30443168,-17.1421356
94,1.8806,-1.66888443,-0.48552437,-1.33680995,0.80949056,-0.48552437,1.66888443,0.80949056,1.33680995,1.66888443,0.48552437,1.33680995,-0.80949056,0.48552437,-1.66888443,-0.80949056,-1.33680995,4.88467161,-22.02680722,-17.14213561
95,1.9006,-1.69501628,-0.4691616,-1.27657488,0.82658798,-0.4691616,1.69501628,0.82658798,1.27657488,1.69501628,0.4691616,1.27657488,-0.82658798,0.4691616,-1.69501628,-0.82658798,-1.27657488,4.62578221,-21.76791782,-17.14213561
96,1.9206,-1.71995514,-0.45246853,-1.21749667,0.84253423,-0.45246853,1.71995514,0.84253423,1.21749667,1.71995514,0.45246853,1.21749667,-0.84253423,0.45246853,-1.71995514,-0.84253423,-1.21749667,4.38432413,-21.52645975,-17.14213561
97,1.9406,-1.7437233,-0.43546739,-1.15949202,0.85740612,-0.43546739,1.7437233,0.85740612,1.15949202,1.7437233,0.43546739,1.15949202,-0.85740612,0.43546739,-1.7437233,-0.85740612,-1.15949202,4.15913401,-21.30126962,-17.14213561
98,1.9606,-1.76634146,-0.41817898,-1.10248365,0.87127237,-0.41817898,1.76634146,0.87127237,1.10248365,1.76634146,0.41817898,1.10248365,-0.87127237,0.41817898,-1.76634146,-0.87127237,-1.10248365,3.94917148,-21.0913071,-17.14213561
99,1.9806,-1.78782881,-0.40062279,-1.04639968,0.88419452,-0.40062279,1.78782881,0.88419452,1.04639968,1.78782881,0.40062279,1.04639968,-0.88419452,0.40062279,-1.78782881,-0.88419452,-1.04639968,3.7535045,-20.89564012,-17.14213561
100,2.0006,-1.80820316,-0.38281713,-0.99117306,0.89622782,-0.38281713,1.80820316,0.89622782,0.99117306,1.80820316,0.38281713,0.99117306,-0.89622782,0.38281713,-1.80820316,-0.89622782,-0.99117306,3.57129668,-20.7134323,-17.14213562
101,2.0206,-1.82748103,-0.36477927,-0.93674105,0.90742189,-0.36477927,1.82748103,0.90742189,0.93674105,1.82748103,0.36477927,0.93674105,-0.90742189,0.36477927,-1.82748103,-0.90742189,-0.93674105,3.40179656,-20.54393218,-17.14213562
102,2.0406,-1.84567771,-0.34652555,-0.8830448,0.91782135,-0.34652555,1.84567771,0.91782135,0.8830448,1.84567771,0.34652555,0.8830448,-0.91782135,0.34652555,-1.84567771,-0.91782135,-0.8830448,3.24432833,-20.38646395,-17.14213562
103,2.0606,-1.86280736,-0.32807144,-0.83002894,0.92746639,-0.32807144,1.86280736,0.92746639,0.83002894,1.86280736,0.32807144,0.83002894,-0.92746639,0.32807144,-1.86280736,-0.92746639,-0.83002894,3.09828387,-20.24041949,-17.14213562
