,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,KineticEnergy,Potential,Energy
20,0.4002,-1.80928574,0.34734466,0.94390877,0.76260518,2.93990739,1.31532734,-1.76280214,-1.53823854,1.14294394,-2.30892642,-3.23799444,0.49325139,1.70246803,3.65614934,-0.44959845,-0.77617021,-7.51562173,-1.40036109,-1.08764994,0.79269214,6.37521758,2.18839188,0.21050205,-1.2890517,3.88237404,0.85210619,0.70811771,-1.13311717,2.13522859,6.56137409,1.62751287,0.33971705,3.06399526,0.31131968,-3.05489708,3.44632163,0.88277263,-2.32272567,6.10290065,-1.09800978,43.10305699,-147.34209784,-104.23904085
21,0.4202,-1.78992787,0.36251691,0.99196508,0.75468071,2.90629386,1.28183826,-1.59958304,-1.81745773,1.06744377,-2.35296082,10.14230248,-5.6444365,1.69378717,3.64012866,-0.41848808,-0.82613388,-7.53718392,-1.38446756,-1.06859034,0.79665256,6.37871643,2.16238927,0.13939398,-1.31114126,3.89306253,0.82926955,0.36092633,-1.14813435,2.16777936,6.5676397,1.62748978,0.28691787,3.00414628,0.38337145,-2.929085,3.76306477,1.01588239,-2.28972544,-7.24633118,5.1459878,126.21211893,-232.37313223,-106.1610133
22,0.4402,-1.76960334,0.37753373,1.04058802,0.74703792,2.87589678,1.24225885,-1.44048025,-2.15288856,1.20230289,-2.40249857,5.16339161,-1.32109825,1.68572849,3.6230944,-0.38738043,-0.87753714,-7.55836613,-1.36849532,-1.04964943,0.8005635,6.38079377,2.13594899,0.06835091,-1.33281545,3.89682006,0.80628547,0.01508069,-1.14750235,2.20032527,6.57285371,1.62703079,0.23455434,2.94685426,0.46210153,-2.79989732,4.11943043,0.93924794,-2.24908279,-2.23703459,0.93025557,37.94932502,-144.12298184,-106.17365682
23,0.4603,-1.74819123,0.39247389,1.09007687,0.73958402,2.84854312,1.19477194,-1.28116127,-2.5965793,1.29137351,-2.42040157,3.83603857,-0.55599087,1.67825635,3.60492407,-0.35611366,-0.93071718,-7.57927373,-1.3523649,-1.03072723,0.80444504,6.38145067,2.1089442,-0.00297465,-1.35415071,3.89364378,0.78337115,-0.33083517,-1.1295715,2.23302043,6.57704292,1.62615068,0.18235144,2.89188032,0.54917622,-2.67044446,4.5660304,0.90929677,-2.23793791,-0.88000968,0.27459867,31.28610673,-137.45979659,-106.17368986
24,0.4803,-1.72589188,0.40719342,1.13996815,0.73241224,2.82450674,1.13670809,-1.12311158,-3.26688112,1.35923468,-2.42685993,2.99215897,-0.11727786,1.67144539,3.58576725,-0.32497503,-0.98524179,-7.59970092,-1.33623778,-1.01201009,0.80825916,6.38068212,2.08165288,-0.07386673,-1.37489841,3.8835998,0.76110572,-0.67327745,-1.09403504,2.26553136,6.58017387,1.62487771,0.13080871,2.83974842,0.64650427,-2.54230802,5.22080067,0.90084429,-2.23600778,-0.00745594,-0.05394655,32.70839246,-138.8820791,-106.17368664
25,0.5003,-1.70258799,0.4217722,1.19053596,0.72551436,2.80343653,1.05976017,-1.00077462,-4.64747818,1.41213332,-2.42580705,2.31407013,0.21086796,1.66525783,3.56550282,-0.29376306,-1.04150432,-7.61975486,-1.32003485,-0.99340248,0.81202591,6.37849658,2.05395174,-0.14467146,-1.39512542,3.86672306,0.73972488,-1.01417505,-1.04126953,2.29801302,6.58227778,1.62322664,0.07964263,2.79036261,0.7622255,-2.37957741,6.56801814,0.90791989,-2.23937319,0.69853134,-0.27069154,44.4223876,-150.59599923,-106.17361163
26,0.5203,-1.67826576,0.43621603,1.24180602,0.71892286,2.736644,0.94465126,-9.87166968,10.30758184,1.45218001,-2.4187523,1.69453923,0.48903016,1.65969595,3.54409412,-0.26238048,-1.09972138,-7.63943774,-1.30375705,-0.97490381,0.81574593,6.37489597,2.02585163,-0.21536899,-1.41478596,3.84304012,0.71955712,-1.35388898,-0.97339968,2.33045802,6.5833619,1.6212138,0.02882472,2.79239073,0.9152774,6.7753326,-8.43598595,0.9283987,-2.24650011,1.3453203,-0.43621255,169.14430513,-275.40171785,-106.25741273
27,0.5403,-1.65291104,0.45053142,1.29378317,0.71267767,2.62954839,1.08177922,-4.01778117,5.50496255,1.47987696,-2.40639685,1.06925417,0.74423432,1.65476586,3.52149684,-0.23051944,-1.16050525,-7.65875174,-1.28740532,-0.95651436,0.81941985,6.36988297,1.99736446,-0.28589563,-1.43382442,3.8125626,0.70082779,-1.69474228,-0.89958002,2.36285924,6.58343273,1.61885055,-0.02169798,2.8403982,0.81503146,1.20601962,-3.68824657,0.96176857,-2.25666175,1.99754537,-0.57744015,40.56691752,-146.86362407,-106.29670656
28,0.5603,-1.62650963,0.46472574,1.34648037,0.70682195,2.55775665,1.18150243,-3.26717851,4.58806121,1.49447844,-2.38902434,0.37184536,0.99316449,1.65048019,3.49765232,-0.1979083,-1.22452381,-7.67769905,-1.27098056,-0.9382342,0.8230486,6.36346165,1.968503,-0.35619639,-1.4522109,3.77518952,0.6835581,-2.04479645,-0.82800353,2.39520975,6.58249564,1.61614335,-0.07197159,2.85886044,0.75111443,0.7479851,-2.82342524,1.00877204,-2.26954676,2.72185968,-0.71096117,32.21160136,-138.50834962,-106.29674826
29,0.5803,-1.5990468,0.47880709,1.39993233,0.70138548,2.49663821,1.26795612,-2.87568377,4.09581278,1.49353345,-2.36661645,-0.51347864,1.25022177,1.64685562,3.47249132,-0.16438266,-1.29222771,-7.69628183,-1.25448367,-0.92006265,0.82663302,6.35563669,1.9392805,-0.42625979,-1.46992582,3.73064804,0.66767673,-2.41337336,-0.76106067,2.42750274,6.58055534,1.61310061,-0.12202355,2.87265273,0.6994767,0.66598929,-2.37775528,1.07186114,-2.28514368,3.63421863,-0.85106002,31.97123752,-138.26798728,-106.29674975
